,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FY,MatchWinner,halftimeWinner,FT_Point,FT_Winner,FT_Draw,FT_Loss,HT_Winner,HT_Draw,HT_Loss,Target_Home%,Target_Away%,Manager,Home_Win,Away_Win,Home_Loss,Away_Loss,Home_Draw,Away_Draw,Diff_Score
2784,2016-11-26,Liverpool,Sunderland,2,0,H,0,0,D,A Taylor,27,6,7,1,5,9,9,4,1,3,0,0,FY1617,Liverpool,draw,3,1,0,0,0,1,1,25.93,16.67,Jürgen Klopp,1,0,0,0,0,0,2
2797,2016-04-12,Bournemouth,Liverpool,4,3,H,0,2,A,R Madley,12,10,8,3,9,17,4,9,2,2,0,0,FY1617,Bournemouth,Liverpool,0,0,0,1,1,0,0,66.67,30.0,Jürgen Klopp,0,0,0,1,0,0,-1
2807,2016-11-12,Liverpool,West Ham,2,2,D,1,2,A,M Clattenburg,18,7,3,3,7,8,11,4,2,0,0,0,FY1617,draw,West Ham,1,0,1,0,0,0,1,16.67,42.86,Jürgen Klopp,0,0,0,0,1,0,0
2814,2016-12-14,Middlesbrough,Liverpool,0,3,A,0,1,A,J Moss,8,15,3,4,11,14,5,2,1,0,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,37.5,26.67,Jürgen Klopp,0,1,0,0,0,0,3
2829,2016-12-19,Everton,Liverpool,0,1,A,0,0,D,M Dean,6,11,1,4,13,9,1,6,3,1,0,0,FY1617,Liverpool,draw,3,1,0,0,0,1,1,16.67,36.36,Jürgen Klopp,0,1,0,0,0,0,1
2838,2016-12-27,Liverpool,Stoke,4,1,H,2,1,H,M Oliver,20,6,6,2,9,6,8,2,0,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,30.0,33.33,Jürgen Klopp,1,0,0,0,0,0,3
2844,2016-12-31,Liverpool,Man City,1,0,H,1,0,H,C Pawson,5,9,1,2,12,12,4,6,2,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,20.0,22.22,Jürgen Klopp,1,0,0,0,0,0,1
2853,2017-02-01,Sunderland,Liverpool,2,2,D,1,1,D,A Taylor,10,21,5,15,10,10,2,5,2,3,0,0,FY1617,draw,draw,1,0,1,0,0,1,1,50.0,71.43,Jürgen Klopp,0,0,0,0,0,1,0
2869,2017-01-15,Man United,Liverpool,1,1,D,0,1,A,M Oliver,9,13,3,4,17,13,5,7,1,3,0,0,FY1617,draw,Liverpool,1,0,1,0,1,0,0,33.33,30.77,Jürgen Klopp,0,0,0,0,0,1,0
2872,2017-01-21,Liverpool,Swansea,2,3,A,0,0,D,K Friend,16,6,5,3,7,7,6,3,1,1,0,0,FY1617,Swansea,draw,0,0,0,1,0,1,1,31.25,50.0,Jürgen Klopp,0,0,1,0,0,0,-1
2883,2017-01-31,Liverpool,Chelsea,1,1,D,0,1,A,M Clattenburg,7,8,3,2,13,8,3,3,2,1,0,0,FY1617,draw,Chelsea,1,0,1,0,0,0,1,42.86,25.0,Jürgen Klopp,0,0,0,0,1,0,0
