,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FY,MatchWinner,halftimeWinner,FT_Point,FT_Winner,FT_Draw,FT_Loss,HT_Winner,HT_Draw,HT_Loss,Target_Home%,Target_Away%,Manager,Home_Win,Away_Win,Home_Loss,Away_Loss,Home_Draw,Away_Draw,Diff_Score
9,2009-08-16,Tottenham,Liverpool,2,1,H,1,0,H,P Dowd,17,6,11,3,14,16,6,5,3,3,0,0,FY0910,Tottenham,Tottenham,0,0,0,1,0,0,1,64.71,50.0,Rafael Benítez,0,0,0,1,0,0,-1
15,2009-08-19,Liverpool,Stoke,4,0,H,2,0,H,P Walton,18,6,13,3,10,9,11,5,0,1,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,72.22,50.0,Rafael Benítez,1,0,0,0,0,0,4
25,2009-08-24,Liverpool,Aston Villa,1,3,A,0,2,A,M Atkinson,21,7,12,4,15,11,10,4,3,2,0,0,FY0910,Aston Villa,Aston Villa,0,0,0,1,0,0,1,57.14,57.14,Rafael Benítez,0,0,1,0,0,0,-2
27,2009-08-29,Bolton,Liverpool,2,3,A,1,1,D,A Wiley,8,26,5,14,14,7,5,11,3,1,1,0,FY0910,Liverpool,draw,3,1,0,0,0,1,1,62.5,53.85,Rafael Benítez,0,1,0,0,0,0,1
37,2009-12-09,Liverpool,Burnley,4,0,H,2,0,H,L Mason,27,6,16,3,8,10,7,5,0,2,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,59.26,50.0,Rafael Benítez,1,0,0,0,0,0,4
51,2009-09-19,West Ham,Liverpool,2,3,A,2,2,D,A Marriner,8,19,5,15,13,17,4,4,3,3,0,0,FY0910,Liverpool,draw,3,1,0,0,0,1,1,62.5,78.95,Rafael Benítez,0,1,0,0,0,0,1
59,2009-09-26,Liverpool,Hull,6,1,H,2,1,H,P Walton,22,7,14,3,10,3,13,2,1,4,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,63.64,42.86,Rafael Benítez,1,0,0,0,0,0,5
72,2009-04-10,Chelsea,Liverpool,2,0,H,0,0,D,M Atkinson,12,12,8,3,14,17,5,8,1,1,0,0,FY0910,Chelsea,draw,0,0,0,1,0,1,1,66.67,25.0,Rafael Benítez,0,0,0,1,0,0,-2
82,2009-10-17,Sunderland,Liverpool,1,0,H,1,0,H,M Jones,13,15,7,6,20,17,1,7,2,1,0,0,FY0910,Sunderland,Sunderland,0,0,0,1,0,0,1,53.85,40.0,Rafael Benítez,0,0,0,1,0,0,-1
93,2009-10-25,Liverpool,Man United,2,0,H,0,0,D,A Marriner,11,7,6,5,20,11,5,1,2,3,1,1,FY0910,Liverpool,draw,3,1,0,0,0,1,1,54.55,71.43,Rafael Benítez,1,0,0,0,0,0,2
100,2009-10-31,Fulham,Liverpool,3,1,H,1,1,D,L Mason,10,6,6,3,10,13,2,2,1,0,0,2,FY0910,Fulham,draw,0,0,0,1,0,1,1,60.0,50.0,Rafael Benítez,0,0,0,1,0,0,-2
116,2009-09-11,Liverpool,Birmingham,2,2,D,1,2,A,P Walton,27,5,14,2,7,9,11,1,1,2,0,0,FY0910,draw,Birmingham,1,0,1,0,0,0,1,51.85,40.0,Rafael Benítez,0,0,0,0,1,0,0
121,2009-11-21,Liverpool,Man City,2,2,D,0,0,D,P Dowd,10,9,6,6,9,13,7,3,2,0,0,0,FY0910,draw,draw,1,0,1,0,0,1,1,60.0,66.67,Rafael Benítez,0,0,0,0,1,0,0
137,2009-11-29,Everton,Liverpool,0,2,A,0,1,A,A Wiley,12,9,8,7,15,12,6,4,1,0,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,66.67,77.78,Rafael Benítez,0,1,0,0,0,0,2
141,2009-05-12,Blackburn,Liverpool,0,0,D,0,0,D,M Atkinson,9,15,3,11,15,9,1,8,1,0,0,0,FY0910,draw,draw,1,0,1,0,0,1,1,33.33,73.33,Rafael Benítez,0,0,0,0,0,1,0
158,2009-12-13,Liverpool,Arsenal,1,2,A,1,0,H,H Webb,6,7,3,5,19,16,3,4,3,3,0,0,FY0910,Arsenal,Liverpool,0,0,0,1,1,0,0,50.0,71.43,Rafael Benítez,0,0,1,0,0,0,-1
165,2009-12-16,Liverpool,Wigan,2,1,H,1,0,H,P Dowd,12,8,7,5,12,11,13,0,1,1,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,58.33,62.5,Rafael Benítez,1,0,0,0,0,0,1
172,2009-12-19,Portsmouth,Liverpool,2,0,H,1,0,H,L Mason,14,7,6,3,7,12,8,10,3,3,0,1,FY0910,Portsmouth,Portsmouth,0,0,0,1,0,0,1,42.86,42.86,Rafael Benítez,0,0,0,1,0,0,-2
179,2009-12-26,Liverpool,Wolves,2,0,H,0,0,D,A Marriner,14,6,10,2,9,10,7,1,0,1,0,1,FY0910,Liverpool,draw,3,1,0,0,0,1,1,71.43,33.33,Rafael Benítez,1,0,0,0,0,0,2
192,2009-12-29,Aston Villa,Liverpool,0,1,A,0,0,D,L Probert,11,12,7,9,13,11,8,10,1,1,0,0,FY0910,Liverpool,draw,3,1,0,0,0,1,1,63.64,75.0,Rafael Benítez,0,1,0,0,0,0,1
203,2010-01-16,Stoke,Liverpool,1,1,D,0,0,D,L Mason,6,4,5,3,14,10,10,0,1,2,0,0,FY0910,draw,draw,1,0,1,0,0,1,1,83.33,75.0,Rafael Benítez,0,0,0,0,0,1,0
210,2010-01-20,Liverpool,Tottenham,2,0,H,1,0,H,H Webb,13,7,5,5,11,17,2,3,2,3,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,38.46,71.43,Rafael Benítez,1,0,0,0,0,0,2
215,2010-01-26,Wolves,Liverpool,0,0,D,0,0,D,P Walton,6,6,4,3,10,11,0,7,0,1,0,0,FY0910,draw,draw,1,0,1,0,0,1,1,66.67,50.0,Rafael Benítez,0,0,0,0,0,1,0
224,2010-01-30,Liverpool,Bolton,2,0,H,1,0,H,S Bennett,13,4,6,1,12,10,11,3,1,3,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,46.15,25.0,Rafael Benítez,1,0,0,0,0,0,2
235,2010-06-02,Liverpool,Everton,1,0,H,0,0,D,M Atkinson,9,6,4,3,11,23,8,8,3,3,1,1,FY0910,Liverpool,draw,3,1,0,0,0,1,1,44.44,50.0,Rafael Benítez,1,0,0,0,0,0,1
246,2010-10-02,Arsenal,Liverpool,1,0,H,0,0,D,H Webb,11,9,6,7,19,13,3,6,3,2,0,0,FY0910,Arsenal,draw,0,0,0,1,0,1,1,54.55,77.78,Roy Hodgson,0,0,0,1,0,0,-1
262,2010-02-21,Man City,Liverpool,0,0,D,0,0,D,P Walton,4,6,1,2,7,15,8,5,1,6,0,0,FY0910,draw,draw,1,0,1,0,0,1,1,25.0,33.33,Rafael Benítez,0,0,0,0,0,1,0
270,2010-02-28,Liverpool,Blackburn,2,1,H,2,1,H,A Wiley,12,12,6,7,10,22,4,5,1,5,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,50.0,58.33,Rafael Benítez,1,0,0,0,0,0,1
277,2010-08-03,Wigan,Liverpool,1,0,H,1,0,H,A Marriner,12,11,4,3,15,14,4,7,1,5,0,0,FY0910,Wigan,Wigan,0,0,0,1,0,0,1,33.33,27.27,Roy Hodgson,0,0,0,1,0,0,-1
290,2010-03-15,Liverpool,Portsmouth,4,1,H,3,0,H,S Attwell,23,7,12,3,10,15,8,4,0,2,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,52.17,42.86,Rafael Benítez,1,0,0,0,0,0,3
301,2010-03-21,Man United,Liverpool,2,1,H,1,1,D,H Webb,10,4,5,2,10,15,1,2,2,3,0,0,FY0910,Man United,draw,0,0,0,1,0,1,1,50.0,50.0,Rafael Benítez,0,0,0,1,0,0,-1
315,2010-03-28,Liverpool,Sunderland,3,0,H,2,0,H,P Dowd,25,7,16,2,11,9,9,2,0,1,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,64.0,28.57,Rafael Benítez,1,0,0,0,0,0,3
324,2010-04-04,Birmingham,Liverpool,1,1,D,0,0,D,M Atkinson,8,16,3,8,14,9,5,4,2,1,0,0,FY0910,draw,draw,1,0,1,0,0,1,1,37.5,50.0,Rafael Benítez,0,0,0,0,0,1,0
330,2010-11-04,Liverpool,Fulham,0,0,D,0,0,D,A Marriner,18,2,9,2,6,16,10,1,1,3,0,0,FY0910,draw,draw,1,0,1,0,0,1,1,50.0,100.0,Roy Hodgson,0,0,0,0,1,0,0
346,2010-04-19,Liverpool,West Ham,3,0,H,2,0,H,P Walton,17,6,8,2,8,12,9,2,0,2,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,47.06,33.33,Rafael Benítez,1,0,0,0,0,0,3
355,2010-04-25,Burnley,Liverpool,0,4,A,0,0,D,P Dowd,12,12,6,10,13,11,4,5,2,1,0,0,FY0910,Liverpool,draw,3,1,0,0,0,1,1,50.0,83.33,Rafael Benítez,0,1,0,0,0,0,4
364,2010-02-05,Liverpool,Chelsea,0,2,A,0,1,A,A Wiley,7,15,2,11,7,7,9,5,1,2,0,0,FY0910,Chelsea,Chelsea,0,0,0,1,0,0,1,28.57,73.33,Rafael Benítez,0,0,1,0,0,0,-2
376,2010-09-05,Hull,Liverpool,0,0,D,0,0,D,A Marriner,11,19,6,7,15,11,2,6,1,0,0,0,FY0910,draw,draw,1,0,1,0,0,1,1,54.55,36.84,Roy Hodgson,0,0,0,0,0,1,0
388,2010-08-15,Liverpool,Arsenal,1,1,D,0,0,D,M Atkinson,7,14,4,7,13,15,9,11,1,3,1,1,FY1011,draw,draw,1,0,1,0,0,1,1,57.14,50.0,Roy Hodgson,0,0,0,0,1,0,0
399,2010-08-23,Man City,Liverpool,3,0,H,1,0,H,P Dowd,8,13,3,7,13,12,5,4,1,1,0,0,FY1011,Man City,Man City,0,0,0,1,0,0,1,37.5,53.85,Roy Hodgson,0,0,0,1,0,0,-3
408,2010-08-29,Liverpool,West Brom,1,0,H,0,0,D,L Probert,11,14,7,5,9,8,7,6,0,0,0,1,FY1011,Liverpool,draw,3,1,0,0,0,1,1,63.64,35.71,Roy Hodgson,1,0,0,0,0,0,1
418,2010-12-09,Birmingham,Liverpool,0,0,D,0,0,D,M Halsey,15,14,3,8,8,9,4,3,1,0,0,0,FY1011,draw,draw,1,0,1,0,0,1,1,20.0,57.14,Roy Hodgson,0,0,0,0,0,1,0
428,2010-09-19,Man United,Liverpool,3,2,H,1,0,H,H Webb,16,7,7,1,15,10,6,1,4,1,0,0,FY1011,Man United,Man United,0,0,0,1,0,0,1,43.75,14.29,Roy Hodgson,0,0,0,1,0,0,-1
434,2010-09-25,Liverpool,Sunderland,2,2,D,1,1,D,S Attwell,13,10,5,1,15,7,3,3,3,1,0,0,FY1011,draw,draw,1,0,1,0,0,1,1,38.46,10.0,Roy Hodgson,0,0,0,0,1,0,0
448,2010-03-10,Liverpool,Blackpool,1,2,A,0,2,A,M Jones,19,11,10,7,11,10,5,2,2,1,0,0,FY1011,Blackpool,Blackpool,0,0,0,1,0,0,1,52.63,63.64,Rafael Benítez,0,0,1,0,0,0,-1
458,2010-10-17,Everton,Liverpool,2,0,H,1,0,H,H Webb,9,15,6,9,10,9,8,7,2,2,0,0,FY1011,Everton,Everton,0,0,0,1,0,0,1,66.67,60.0,Roy Hodgson,0,0,0,1,0,0,-2
467,2010-10-24,Liverpool,Blackburn,2,1,H,0,0,D,P Dowd,17,4,10,2,17,12,15,4,2,3,0,0,FY1011,Liverpool,draw,3,1,0,0,0,1,1,58.82,50.0,Roy Hodgson,1,0,0,0,0,0,1
477,2010-10-31,Bolton,Liverpool,0,1,A,0,0,D,M Atkinson,14,10,10,4,15,13,1,4,2,2,0,0,FY1011,Liverpool,draw,3,1,0,0,0,1,1,71.43,40.0,Roy Hodgson,0,1,0,0,0,0,1
488,2010-07-11,Liverpool,Chelsea,2,0,H,2,0,H,H Webb,9,11,7,7,15,17,2,5,0,2,0,0,FY1011,Liverpool,Liverpool,3,1,0,0,1,0,0,77.78,63.64,Roy Hodgson,1,0,0,0,0,0,2
498,2010-10-11,Wigan,Liverpool,1,1,D,0,1,A,P Walton,10,8,8,3,7,10,5,4,0,2,0,0,FY1011,draw,Liverpool,1,0,1,0,1,0,0,80.0,37.5,Roy Hodgson,0,0,0,0,0,1,0
503,2010-11-13,Stoke,Liverpool,2,0,H,0,0,D,M Halsey,14,10,7,6,14,10,4,3,2,3,0,1,FY1011,Stoke,draw,0,0,0,1,0,1,1,50.0,60.0,Roy Hodgson,0,0,0,1,0,0,-2
514,2010-11-20,Liverpool,West Ham,3,0,H,3,0,H,L Probert,19,6,11,1,8,8,10,2,0,1,0,0,FY1011,Liverpool,Liverpool,3,1,0,0,1,0,0,57.89,16.67,Roy Hodgson,1,0,0,0,0,0,3
529,2010-11-28,Tottenham,Liverpool,2,1,H,0,1,A,M Atkinson,20,12,13,8,6,16,5,8,0,5,0,0,FY1011,Tottenham,Liverpool,0,0,0,1,1,0,0,65.0,66.67,Roy Hodgson,0,0,0,1,0,0,-1
538,2010-06-12,Liverpool,Aston Villa,3,0,H,2,0,H,P Dowd,12,5,7,2,12,13,4,3,0,1,0,0,FY1011,Liverpool,Liverpool,3,1,0,0,1,0,0,58.33,40.0,Roy Hodgson,1,0,0,0,0,0,3
542,2010-11-12,Newcastle,Liverpool,3,1,H,1,0,H,L Mason,8,16,5,7,19,13,2,5,2,1,0,0,FY1011,Newcastle,Newcastle,0,0,0,1,0,0,1,62.5,43.75,Roy Hodgson,0,0,0,1,0,0,-2
568,2010-12-29,Liverpool,Wolves,0,1,A,0,0,D,P Walton,9,7,5,3,8,11,2,8,1,1,0,0,FY1011,Wolves,draw,0,0,0,1,0,1,1,55.56,42.86,Roy Hodgson,0,0,1,0,0,0,-1
571,2011-01-01,Liverpool,Bolton,2,1,H,0,1,A,K Friend,16,10,7,4,11,16,7,4,2,2,0,0,FY1011,Liverpool,Bolton,3,1,0,0,0,0,1,43.75,40.0,Roy Hodgson,1,0,0,0,0,0,1
585,2011-05-01,Blackburn,Liverpool,3,1,H,2,0,H,A Marriner,10,13,4,9,14,13,0,7,1,1,0,0,FY1011,Blackburn,Blackburn,0,0,0,1,0,0,1,40.0,69.23,Kenny Dalglish,0,0,0,1,0,0,-2
590,2011-12-01,Blackpool,Liverpool,2,1,H,1,1,D,M Oliver,13,10,9,6,6,13,3,3,1,3,0,0,FY1011,Blackpool,draw,0,0,0,1,0,1,1,69.23,60.0,Kenny Dalglish,0,0,0,1,0,0,-1
598,2011-01-16,Liverpool,Everton,2,2,D,1,0,H,P Dowd,19,10,14,5,16,17,10,6,3,0,0,0,FY1011,draw,Liverpool,1,0,1,0,1,0,0,73.68,50.0,Kenny Dalglish,0,0,0,0,1,0,0
608,2011-01-22,Wolves,Liverpool,0,3,A,0,1,A,M Atkinson,11,15,4,10,6,17,5,4,0,3,0,0,FY1011,Liverpool,Liverpool,3,1,0,0,1,0,0,36.36,66.67,Kenny Dalglish,0,1,0,0,0,0,3
613,2011-01-26,Liverpool,Fulham,1,0,H,0,0,D,L Probert,11,12,7,8,11,10,6,2,0,0,0,0,FY1011,Liverpool,draw,3,1,0,0,0,1,1,63.64,66.67,Kenny Dalglish,1,0,0,0,0,0,1
623,2011-02-02,Liverpool,Stoke,2,0,H,0,0,D,A Taylor,13,6,9,1,6,8,7,0,1,4,0,0,FY1011,Liverpool,draw,3,1,0,0,0,1,1,69.23,16.67,Kenny Dalglish,1,0,0,0,0,0,2
632,2011-06-02,Chelsea,Liverpool,0,1,A,0,0,D,A Marriner,14,7,4,4,9,9,4,3,1,1,0,0,FY1011,Liverpool,draw,3,1,0,0,0,1,1,28.57,57.14,Kenny Dalglish,0,1,0,0,0,0,1
638,2011-12-02,Liverpool,Wigan,1,1,D,1,0,H,K Friend,13,8,5,2,11,17,8,5,1,3,0,0,FY1011,draw,Liverpool,1,0,1,0,1,0,0,38.46,25.0,Kenny Dalglish,0,0,0,0,1,0,0
654,2011-02-27,West Ham,Liverpool,3,1,H,2,0,H,M Halsey,17,12,11,8,10,8,6,8,0,1,0,0,FY1011,West Ham,West Ham,0,0,0,1,0,0,1,64.71,66.67,Kenny Dalglish,0,0,0,1,0,0,-2
664,2011-06-03,Liverpool,Man United,3,1,H,2,0,H,P Dowd,17,12,10,7,12,12,6,4,2,3,0,0,FY1011,Liverpool,Liverpool,3,1,0,0,1,0,0,58.82,58.33,Kenny Dalglish,1,0,0,0,0,0,2
677,2011-03-20,Sunderland,Liverpool,0,2,A,0,1,A,K Friend,3,10,1,4,11,7,3,6,3,3,1,0,FY1011,Liverpool,Liverpool,3,1,0,0,1,0,0,33.33,40.0,Kenny Dalglish,0,1,0,0,0,0,2
683,2011-02-04,West Brom,Liverpool,2,1,H,0,0,D,M Atkinson,17,13,14,9,10,15,0,5,2,3,0,0,FY1011,West Brom,draw,0,0,0,1,0,1,1,82.35,69.23,Kenny Dalglish,0,0,0,1,0,0,-1
697,2011-11-04,Liverpool,Man City,3,0,H,3,0,H,M Halsey,15,13,7,4,6,3,6,2,1,0,0,0,FY1011,Liverpool,Liverpool,3,1,0,0,1,0,0,46.67,30.77,Kenny Dalglish,1,0,0,0,0,0,3
703,2011-04-17,Arsenal,Liverpool,1,1,D,0,0,D,A Marriner,12,9,6,5,13,13,10,3,2,4,0,0,FY1011,draw,draw,1,0,1,0,0,1,1,50.0,55.56,Kenny Dalglish,0,0,0,0,0,1,0
710,2011-04-23,Liverpool,Birmingham,5,0,H,2,0,H,H Webb,17,10,13,6,7,12,5,2,1,0,0,0,FY1011,Liverpool,Liverpool,3,1,0,0,1,0,0,76.47,60.0,Kenny Dalglish,1,0,0,0,0,0,5
727,2011-01-05,Liverpool,Newcastle,3,0,H,1,0,H,P Walton,9,7,5,3,15,10,3,12,1,2,0,0,FY1011,Liverpool,Liverpool,3,1,0,0,1,0,0,55.56,42.86,Roy Hodgson,1,0,0,0,0,0,3
738,2011-09-05,Fulham,Liverpool,2,5,A,0,3,A,L Mason,10,16,7,11,18,11,6,5,5,2,0,0,FY1011,Liverpool,Liverpool,3,1,0,0,1,0,0,70.0,68.75,Kenny Dalglish,0,1,0,0,0,0,3
747,2011-05-15,Liverpool,Tottenham,0,2,A,0,1,A,H Webb,10,8,2,4,13,7,11,5,2,1,0,0,FY1011,Tottenham,Tottenham,0,0,0,1,0,0,1,20.0,50.0,Kenny Dalglish,0,0,1,0,0,0,-2
750,2011-05-22,Aston Villa,Liverpool,1,0,H,1,0,H,L Probert,10,9,8,4,12,12,4,5,2,2,0,0,FY1011,Aston Villa,Aston Villa,0,0,0,1,0,0,1,80.0,44.44,Kenny Dalglish,0,0,0,1,0,0,-1
762,2011-08-13,Liverpool,Sunderland,1,1,D,1,0,H,P Dowd,11,15,4,6,17,12,6,3,4,4,0,0,FY1112,draw,Liverpool,1,0,1,0,1,0,0,36.36,40.0,Kenny Dalglish,0,0,0,0,1,0,0
769,2011-08-20,Arsenal,Liverpool,0,2,A,0,0,D,M Atkinson,10,13,6,8,11,6,9,5,2,2,1,0,FY1112,Liverpool,draw,3,1,0,0,0,1,1,60.0,61.54,Kenny Dalglish,0,1,0,0,0,0,2
782,2011-08-27,Liverpool,Bolton,3,1,H,1,0,H,L Probert,17,7,9,4,5,7,12,6,0,2,0,0,FY1112,Liverpool,Liverpool,3,1,0,0,1,0,0,52.94,57.14,Kenny Dalglish,1,0,0,0,0,0,2
793,2011-10-09,Stoke,Liverpool,1,0,H,1,0,H,M Clattenburg,3,20,1,11,12,13,2,12,0,1,0,0,FY1112,Stoke,Stoke,0,0,0,1,0,0,1,33.33,55.0,Kenny Dalglish,0,0,0,1,0,0,-1
808,2011-09-18,Tottenham,Liverpool,4,0,H,1,0,H,M Jones,24,5,16,2,10,9,4,1,1,4,0,2,FY1112,Tottenham,Tottenham,0,0,0,1,0,0,1,66.67,40.0,Kenny Dalglish,0,0,0,1,0,0,-4
811,2011-09-24,Liverpool,Wolves,2,1,H,2,0,H,K Friend,14,11,6,6,15,6,7,2,3,4,0,0,FY1112,Liverpool,Liverpool,3,1,0,0,1,0,0,42.86,54.55,Kenny Dalglish,1,0,0,0,0,0,1
821,2011-01-10,Everton,Liverpool,0,2,A,0,0,D,M Atkinson,12,15,4,9,15,9,5,9,1,1,1,0,FY1112,Liverpool,draw,3,1,0,0,0,1,1,33.33,60.0,Kenny Dalglish,0,1,0,0,0,0,2
830,2011-10-15,Liverpool,Man United,1,1,D,0,0,D,A Marriner,14,10,8,3,8,11,8,3,1,3,0,0,FY1112,draw,draw,1,0,1,0,0,1,1,57.14,30.0,Kenny Dalglish,0,0,0,0,1,0,0
841,2011-10-22,Liverpool,Norwich,1,1,D,1,0,H,P Walton,25,12,15,10,6,8,10,3,0,1,0,0,FY1112,draw,Liverpool,1,0,1,0,1,0,0,60.0,83.33,Kenny Dalglish,0,0,0,0,1,0,0
855,2011-10-29,West Brom,Liverpool,0,2,A,0,2,A,L Mason,10,17,6,7,12,9,3,10,1,0,0,0,FY1112,Liverpool,Liverpool,3,1,0,0,1,0,0,60.0,41.18,Kenny Dalglish,0,1,0,0,0,0,2
862,2011-05-11,Liverpool,Swansea,0,0,D,0,0,D,P Dowd,18,9,10,3,13,5,11,4,2,1,0,0,FY1112,draw,draw,1,0,1,0,0,1,1,55.56,33.33,Kenny Dalglish,0,0,0,0,1,0,0
877,2011-11-20,Chelsea,Liverpool,1,2,A,0,1,A,L Probert,18,9,5,3,13,11,6,5,3,2,0,0,FY1112,Liverpool,Liverpool,3,1,0,0,1,0,0,27.78,33.33,Kenny Dalglish,0,1,0,0,0,0,1
887,2011-11-27,Liverpool,Man City,1,1,D,1,1,D,M Atkinson,17,7,9,3,11,13,8,5,1,4,0,1,FY1112,draw,draw,1,0,1,0,0,1,1,52.94,42.86,Kenny Dalglish,0,0,0,0,1,0,0
898,2011-05-12,Fulham,Liverpool,1,0,H,0,0,D,K Friend,19,17,13,9,12,9,2,10,3,1,0,1,FY1112,Fulham,draw,0,0,0,1,0,1,1,68.42,52.94,Kenny Dalglish,0,0,0,1,0,0,-1
901,2011-10-12,Liverpool,QPR,1,0,H,0,0,D,L Mason,21,6,15,2,12,5,17,5,2,0,0,0,FY1112,Liverpool,draw,3,1,0,0,0,1,1,71.43,33.33,Kenny Dalglish,1,0,0,0,0,0,1
915,2011-12-18,Aston Villa,Liverpool,0,2,A,0,2,A,P Walton,16,19,8,12,5,14,4,10,1,2,0,0,FY1112,Liverpool,Liverpool,3,1,0,0,1,0,0,50.0,63.16,Kenny Dalglish,0,1,0,0,0,0,2
927,2011-12-21,Wigan,Liverpool,0,0,D,0,0,D,M Oliver,15,18,10,10,16,12,7,14,1,2,0,0,FY1112,draw,draw,1,0,1,0,0,1,1,66.67,55.56,Kenny Dalglish,0,0,0,0,0,1,0
931,2011-12-26,Liverpool,Blackburn,1,1,D,0,1,A,M Jones,28,5,13,2,5,15,9,2,1,0,0,0,FY1112,draw,Blackburn,1,0,1,0,0,0,1,46.43,40.0,Kenny Dalglish,0,0,0,0,1,0,0
939,2011-12-30,Liverpool,Newcastle,3,1,H,1,1,D,L Probert,15,5,7,2,7,11,7,0,0,2,0,0,FY1112,Liverpool,draw,3,1,0,0,0,1,1,46.67,40.0,Kenny Dalglish,1,0,0,0,0,0,2
954,2012-03-01,Man City,Liverpool,3,0,H,2,0,H,M Jones,10,18,8,10,13,7,5,6,1,2,1,0,FY1112,Man City,Man City,0,0,0,1,0,0,1,80.0,55.56,Kenny Dalglish,0,0,0,1,0,0,-3
963,2012-01-14,Liverpool,Stoke,0,0,D,0,0,D,H Webb,13,3,5,1,6,11,11,1,0,3,0,0,FY1112,draw,draw,1,0,1,0,0,1,1,38.46,33.33,Kenny Dalglish,0,0,0,0,1,0,0
970,2012-01-21,Bolton,Liverpool,3,1,H,2,1,H,K Friend,15,11,8,8,10,13,5,5,0,2,0,0,FY1112,Bolton,Bolton,0,0,0,1,0,0,1,53.33,72.73,Kenny Dalglish,0,0,0,1,0,0,-2
984,2012-01-31,Wolves,Liverpool,0,3,A,0,0,D,A Taylor,5,23,1,14,6,8,5,4,1,3,0,0,FY1112,Liverpool,draw,3,1,0,0,0,1,1,20.0,60.87,Kenny Dalglish,0,1,0,0,0,0,3
999,2012-06-02,Liverpool,Tottenham,0,0,D,0,0,D,M Oliver,15,9,10,6,6,11,7,4,2,2,0,0,FY1112,draw,draw,1,0,1,0,0,1,1,66.67,66.67,Brendan Rodgers,0,0,0,0,1,0,0
1004,2012-11-02,Man United,Liverpool,2,1,H,0,0,D,P Dowd,11,9,6,6,10,11,4,3,1,1,0,0,FY1112,Man United,draw,0,0,0,1,0,1,1,54.55,66.67,Brendan Rodgers,0,0,0,1,0,0,-1
1020,2012-03-03,Liverpool,Arsenal,1,2,A,1,1,D,M Halsey,12,10,4,7,11,9,12,0,0,1,0,0,FY1112,Arsenal,draw,0,0,0,1,0,1,1,33.33,70.0,Kenny Dalglish,0,0,1,0,0,0,-1
1033,2012-10-03,Sunderland,Liverpool,1,0,H,0,0,D,A Taylor,6,9,1,5,13,15,3,2,1,1,0,0,FY1112,Sunderland,draw,0,0,0,1,0,1,1,16.67,55.56,Brendan Rodgers,0,0,0,1,0,0,-1
1039,2012-03-13,Liverpool,Everton,3,0,H,1,0,H,P Dowd,15,5,10,3,6,7,4,4,1,4,0,0,FY1112,Liverpool,Liverpool,3,1,0,0,1,0,0,66.67,60.0,Kenny Dalglish,1,0,0,0,0,0,3
1047,2012-03-21,QPR,Liverpool,3,2,H,0,0,D,H Webb,10,18,5,11,8,6,7,17,0,0,0,0,FY1112,QPR,draw,0,0,0,1,0,1,1,50.0,61.11,Kenny Dalglish,0,0,0,1,0,0,-1
1052,2012-03-24,Liverpool,Wigan,1,2,A,0,1,A,L Mason,12,6,9,5,14,10,6,0,1,2,0,0,FY1112,Wigan,Wigan,0,0,0,1,0,0,1,75.0,83.33,Kenny Dalglish,0,0,1,0,0,0,-1
1066,2012-01-04,Newcastle,Liverpool,2,0,H,1,0,H,M Atkinson,11,9,7,6,10,11,3,6,3,3,0,1,FY1112,Newcastle,Newcastle,0,0,0,1,0,0,1,63.64,66.67,Kenny Dalglish,0,0,0,1,0,0,-2
1072,2012-07-04,Liverpool,Aston Villa,1,1,D,0,1,A,M Oliver,21,5,5,3,4,9,11,3,1,1,0,0,FY1112,draw,Aston Villa,1,0,1,0,0,0,1,23.81,60.0,Brendan Rodgers,0,0,0,0,1,0,0
1084,2012-10-04,Blackburn,Liverpool,2,3,A,1,2,A,A Taylor,10,16,4,12,16,12,4,4,4,5,0,1,FY1112,Liverpool,Liverpool,3,1,0,0,1,0,0,40.0,75.0,Brendan Rodgers,0,1,0,0,0,0,1
1102,2012-04-22,Liverpool,West Brom,0,1,A,0,0,D,N Swarbrick,28,9,12,4,10,8,15,3,2,0,0,0,FY1112,West Brom,draw,0,0,0,1,0,1,1,42.86,44.44,Kenny Dalglish,0,0,1,0,0,0,-1
1107,2012-04-28,Norwich,Liverpool,0,3,A,0,2,A,M Halsey,8,15,3,9,9,4,5,7,4,0,0,0,FY1112,Liverpool,Liverpool,3,1,0,0,1,0,0,37.5,60.0,Kenny Dalglish,0,1,0,0,0,0,3
1116,2012-01-05,Liverpool,Fulham,0,1,A,0,1,A,L Probert,18,7,5,4,11,7,5,4,0,0,0,0,FY1112,Fulham,Fulham,0,0,0,1,0,0,1,27.78,57.14,Kenny Dalglish,0,0,1,0,0,0,-1
